t,Q,P,PET,T
09-Feb-2003,1.61,3.78,0.32,7.1
10-Feb-2003,1.62,1.79,0.18,4.59
11-Feb-2003,1.73,5.33,0.14,5.39
12-Feb-2003,1.77,0.27,0.16,4.87
13-Feb-2003,1.6,0,0.5,1.2
14-Feb-2003,1.47,0,0.42,0.38
15-Feb-2003,1.39,0,0.39,1.7
16-Feb-2003,1.35,0.01,0.58,1.15
17-Feb-2003,1.3,0,0.52,0.22
18-Feb-2003,1.29,0,0.54,0.25
19-Feb-2003,1.28,0,0.69,1.32
20-Feb-2003,1.24,0,0.53,2.7
21-Feb-2003,1.2,0.01,0.38,3.27
22-Feb-2003,1.19,0.01,0.37,2.44
23-Feb-2003,1.18,0.04,0.5,5.99
24-Feb-2003,1.16,0.01,0.33,5.92
25-Feb-2003,1.13,0,0.95,5.12
26-Feb-2003,1.1,0,0.75,5.35
27-Feb-2003,1.1,0.01,0.72,7.11
28-Feb-2003,1.09,1.95,0.7,8.42
01-Mar-2003,1.1,0.44,0.61,7.34
02-Mar-2003,1.08,0.03,0.81,6.26
03-Mar-2003,1.05,0.26,0.74,5.05
04-Mar-2003,1.04,0.21,0.6,8.7
05-Mar-2003,1.07,9.02,0.65,9.83
06-Mar-2003,1.09,0.02,1.05,6.7
07-Mar-2003,1.07,3.24,0.71,5.66
08-Mar-2003,1.05,0.08,1.21,8.02
09-Mar-2003,1.03,0,1.82,10.64
10-Mar-2003,1,0,1.41,9.96
11-Mar-2003,0.98,1.11,1.62,9.85
12-Mar-2003,0.94,0.44,1.18,6.36
13-Mar-2003,0.92,0,1,4.9
14-Mar-2003,0.9,0,1.47,5.16
15-Mar-2003,0.89,0.01,1.28,4.62
16-Mar-2003,0.88,0,1.1,4.89
17-Mar-2003,0.87,0,1.16,4.43
18-Mar-2003,0.85,0.01,1.09,5.51
19-Mar-2003,0.84,0,1.17,5.26
20-Mar-2003,0.82,0,1.19,6
21-Mar-2003,0.78,0.01,0.93,5.29
22-Mar-2003,0.77,0,1.31,4.83
23-Mar-2003,0.77,0,1.63,7.03
24-Mar-2003,0.75,0,2.03,10.32
25-Mar-2003,0.74,0,1.35,8.8
26-Mar-2003,0.74,0,1.34,8.35
27-Mar-2003,0.73,0,1.47,6.7
28-Mar-2003,0.72,0,0.68,6.25
29-Mar-2003,0.71,0.01,0.85,8.54
30-Mar-2003,0.69,0,1.71,8
31-Mar-2003,0.67,0,1.94,7.58
01-Apr-2003,0.68,4.68,1.61,7.09
02-Apr-2003,0.66,0.09,2.18,5.87
03-Apr-2003,0.64,0,1.91,7
04-Apr-2003,0.63,0,2.17,10.28
05-Apr-2003,0.62,0,1.84,9.32
06-Apr-2003,0.61,0,1.4,6.8
07-Apr-2003,0.61,0,2.22,4.03
08-Apr-2003,0.6,0.17,1.92,3.28
09-Apr-2003,0.55,0.82,1.68,3.27
10-Apr-2003,0.53,0.75,1.03,4.11
11-Apr-2003,0.54,0,1.76,5.88
12-Apr-2003,0.52,0,2.18,6.56
13-Apr-2003,0.51,0,2.79,10.41
14-Apr-2003,0.5,0,3.01,12.87
15-Apr-2003,0.49,0,2.81,13.47
16-Apr-2003,0.47,0,3.35,13.77
17-Apr-2003,0.46,0,3.35,12.09
18-Apr-2003,0.45,0.02,3.07,10.75
19-Apr-2003,0.47,0.04,1.3,6.73
20-Apr-2003,0.48,0,1.88,8.58
21-Apr-2003,0.47,0,2.59,12.28
22-Apr-2003,0.45,0,2.36,10.34
23-Apr-2003,0.43,0,2.43,10.17
24-Apr-2003,0.43,0.56,1.18,9.04
25-Apr-2003,0.46,8.89,1.29,12.14
26-Apr-2003,0.47,0.02,1.9,10.8
27-Apr-2003,0.47,7.17,2.69,12.33
28-Apr-2003,0.5,0.63,1.31,12.43
29-Apr-2003,0.47,0.93,3.03,12.39
30-Apr-2003,0.45,0.46,2.34,11.89
01-May-2003,0.44,8.25,2.63,11.18
02-May-2003,0.48,3.51,1.35,10.81
03-May-2003,0.46,0,2.94,11.54
04-May-2003,0.45,0,4.22,15.58
05-May-2003,0.43,0,3.46,13.5
06-May-2003,0.4,0,3.17,10.83
07-May-2003,0.38,0,3.26,12.37
08-May-2003,0.35,0,2.41,12.23
09-May-2003,0.34,0,2.66,11.79
10-May-2003,0.34,0,2.44,10.86
11-May-2003,0.33,0.71,2.69,11.1
12-May-2003,0.33,3.14,2.46,9.6
13-May-2003,0.34,4.26,2.57,8.2
14-May-2003,0.35,3.43,2.06,9.01
15-May-2003,0.35,0.22,2.74,9.22
16-May-2003,0.35,5.75,1.19,9.64
17-May-2003,0.37,0.72,1.53,12.59
18-May-2003,0.39,8.9,2.47,13.03
19-May-2003,0.4,6.85,2.49,11.61
20-May-2003,0.41,6.97,2,10.7
21-May-2003,0.42,4.48,1.88,12.64
22-May-2003,0.43,1.62,1.49,14.84
23-May-2003,0.41,0,2.5,13.61
24-May-2003,0.39,2.19,2.57,12.17
25-May-2003,0.38,0.07,2.51,12.25
26-May-2003,0.36,0,3.37,13.16
27-May-2003,0.35,0,2.44,14.73
28-May-2003,0.33,0,3.02,16.27
29-May-2003,0.31,0,3.9,16.7
30-May-2003,0.3,0,3.98,16.37
31-May-2003,0.29,0,4.56,18.75
01-Jun-2003,0.29,14.3,2.6,18.38
02-Jun-2003,0.34,0.13,2.42,17.39
03-Jun-2003,0.32,0,2.58,16.78
04-Jun-2003,0.31,0.26,2.23,16.76
05-Jun-2003,0.29,0.14,4.04,15.92
06-Jun-2003,0.3,14.75,2.01,15.03
07-Jun-2003,0.38,5.56,2.66,17.63
08-Jun-2003,0.43,4.67,2.4,15.09
09-Jun-2003,0.39,1.54,4,15.14
10-Jun-2003,0.32,1.17,3.2,17.25
11-Jun-2003,0.28,0,3.71,16.57
12-Jun-2003,0.25,0,4.14,16.77
13-Jun-2003,0.24,0.06,4.16,15.82
14-Jun-2003,0.22,0,3.41,16.3
15-Jun-2003,0.22,0,4.07,17.65
16-Jun-2003,0.2,0,4.27,18.39
17-Jun-2003,0.27,16.91,2.62,17.9
18-Jun-2003,0.29,0,2.67,16.78
19-Jun-2003,0.24,0,3.87,18.6
20-Jun-2003,0.21,0,4.15,14.77
21-Jun-2003,0.21,0.25,4,15.45
22-Jun-2003,0.21,17.34,2.81,18.82
23-Jun-2003,0.29,0.53,2.92,17.66
24-Jun-2003,0.24,0,3.17,15.61
25-Jun-2003,0.22,0,3.82,15.89
26-Jun-2003,0.21,0,3.01,15.57
27-Jun-2003,0.24,10.88,1.8,16.93
28-Jun-2003,0.27,0.22,2.86,15.75
29-Jun-2003,0.25,1.48,4.07,16.3
30-Jun-2003,0.37,20.18,1.79,15.09
01-Jul-2003,0.5,9.97,1.61,14.43
02-Jul-2003,0.5,3.08,2.06,14.84
03-Jul-2003,0.42,2.88,1.4,14.22
04-Jul-2003,0.42,0.41,2.11,15.3
05-Jul-2003,0.38,0.21,1.63,14.54
06-Jul-2003,0.34,0,2.5,16.64
07-Jul-2003,0.31,0.13,3.61,17.56
08-Jul-2003,0.3,0.08,2.37,18.43
09-Jul-2003,0.29,0,3.63,20.25
10-Jul-2003,0.28,0,4.41,21.92
11-Jul-2003,0.25,0,3.91,18.01
12-Jul-2003,0.26,0,4.49,17.46
13-Jul-2003,0.23,0,5.2,18.68
14-Jul-2003,0.22,0,4.55,18.94
15-Jul-2003,0.2,0,5.09,20.95
16-Jul-2003,0.18,0.5,3.86,20.41
17-Jul-2003,0.19,1.7,1.66,18.15
18-Jul-2003,0.18,0,3.98,19.23
19-Jul-2003,0.17,1.84,4.76,21.73
20-Jul-2003,0.17,0,4.5,19.55
21-Jul-2003,0.16,0,3.92,18.94
22-Jul-2003,0.16,0.78,3.85,18.6
23-Jul-2003,0.16,0,3.1,18.73
24-Jul-2003,0.16,2.43,3.35,18.44
25-Jul-2003,0.17,8.89,1.42,15.95
26-Jul-2003,0.18,6.6,2.52,16.45
27-Jul-2003,0.19,0,2.9,17.33
28-Jul-2003,0.18,0,3.79,17.14
29-Jul-2003,0.18,4.35,2.08,18.16
30-Jul-2003,0.21,10.24,2.24,18.4
31-Jul-2003,0.21,5.87,2.12,18.48
01-Aug-2003,0.22,2.03,1.65,17.48
02-Aug-2003,0.22,0,4.07,18.16
03-Aug-2003,0.21,0,4.08,19.43
04-Aug-2003,0.2,0,4.25,21.02
05-Aug-2003,0.19,0,3.6,20.86
06-Aug-2003,0.18,0,5.22,24.93
07-Aug-2003,0.19,0,3.58,20.86
08-Aug-2003,0.18,0.03,2.28,20.02
09-Aug-2003,0.2,0,3.41,22.21
10-Aug-2003,0.16,0.66,3.82,23.41
11-Aug-2003,0.15,0,2.77,21.25
12-Aug-2003,0.15,0,2.3,20.7
13-Aug-2003,0.13,0,3.81,20.26
14-Aug-2003,0.13,0,4.05,16.66
15-Aug-2003,0.13,0,2.99,16.24
16-Aug-2003,0.12,0,3.36,16.48
17-Aug-2003,0.12,0,2.99,17.67
18-Aug-2003,0.11,0,2.74,19.85
19-Aug-2003,0.11,0,3.16,16.45
20-Aug-2003,0.1,0,3.28,16.2
21-Aug-2003,0.11,0,3.18,17.82
22-Aug-2003,0.11,0.43,2.89,20.61
23-Aug-2003,0.12,0.1,1.94,20.02
24-Aug-2003,0.12,0,2.59,17.86
25-Aug-2003,0.11,0,2.12,17.19
26-Aug-2003,0.12,0,2.05,17.04
27-Aug-2003,0.13,0,2.19,15.84
28-Aug-2003,0.13,0.12,1.49,14.04
29-Aug-2003,0.13,0.87,2.42,14.45
30-Aug-2003,0.12,1.93,2.7,12.96
31-Aug-2003,0.13,0.02,2.25,12.95
01-Sep-2003,0.13,0.13,2.36,13.49
02-Sep-2003,0.13,0,2,14.44
03-Sep-2003,0.13,0,1.73,15.77
04-Sep-2003,0.12,0,2.65,16.5
05-Sep-2003,0.12,0,2.51,17.88
06-Sep-2003,0.12,3.14,1.78,15.62
07-Sep-2003,0.13,0,1.8,13.46
08-Sep-2003,0.12,0,2.02,14.45
09-Sep-2003,0.12,6.42,2.61,14.73
10-Sep-2003,0.11,0.82,1.08,12.82
11-Sep-2003,0.12,1.1,1.31,13.62
12-Sep-2003,0.11,0,2.12,14.64
13-Sep-2003,0.11,0.03,2.5,15.39
14-Sep-2003,0.1,0,3.05,17.25
15-Sep-2003,0.1,0,2.26,17.25
16-Sep-2003,0.1,0,2.34,17.63
17-Sep-2003,0.09,0,3.29,18.96
18-Sep-2003,0.08,0,2.5,17.32
19-Sep-2003,0.07,0,2.42,17.8
20-Sep-2003,0.07,0,2.14,17.56
21-Sep-2003,0.07,0,2.1,17.45
22-Sep-2003,0.08,16.94,1.45,14.76
23-Sep-2003,0.08,0,1.98,9.37
24-Sep-2003,0.08,0,1.52,9.75
25-Sep-2003,0.07,0,1.63,11.64
26-Sep-2003,0.07,0.12,1.27,11.86
27-Sep-2003,0.07,0.16,1.29,11.68
28-Sep-2003,0.07,0.5,1.11,11.43
29-Sep-2003,0.07,0,1.57,11.03
30-Sep-2003,0.07,0,1.61,13.46
01-Oct-2003,0.07,0,1.49,13.17
02-Oct-2003,0.07,0,0.9,13.25
03-Oct-2003,0.07,0,1.13,14.1
04-Oct-2003,0.07,1.77,1.77,9.56
05-Oct-2003,0.07,1.17,1.95,7.71
06-Oct-2003,0.07,4.22,1.87,10.84
07-Oct-2003,0.07,0.16,2.26,9.5
08-Oct-2003,0.07,0.12,1.18,11.47
09-Oct-2003,0.07,0.03,1.87,14.97
10-Oct-2003,0.07,0,1.65,13.52
11-Oct-2003,0.07,0,1.1,10.89
12-Oct-2003,0.07,0,1.39,11.67
13-Oct-2003,0.07,0,1.57,12.03
14-Oct-2003,0.07,0,1.78,11.43
15-Oct-2003,0.07,0,1.55,10.17
16-Oct-2003,0.07,0,1.23,9.62
17-Oct-2003,0.07,0,1.22,9.45
18-Oct-2003,0.07,0,1.17,9.75
19-Oct-2003,0.07,0.89,1.47,9.54
20-Oct-2003,0.07,2.09,1.44,7.52
21-Oct-2003,0.07,0.02,0.55,5.08
22-Oct-2003,0.07,1.86,0.61,6.16
23-Oct-2003,0.07,1.38,1.08,6.07
24-Oct-2003,0.07,0.52,0.69,4.97
25-Oct-2003,0.07,5.55,0.78,5.79
26-Oct-2003,0.07,1.64,0.61,6.49
27-Oct-2003,0.08,0,0.4,6.17
28-Oct-2003,0.08,8.58,0.54,6.14
29-Oct-2003,0.09,0.82,0.24,6.63
30-Oct-2003,0.09,8.15,0.34,6.2
31-Oct-2003,0.11,11.82,0.32,8.45
01-Nov-2003,0.13,2.82,0.51,7.95
02-Nov-2003,0.12,0.91,0.65,9.5
03-Nov-2003,0.11,0.24,1.23,9.76
04-Nov-2003,0.11,0,0.31,8.82
05-Nov-2003,0.1,0,0.38,10.92
06-Nov-2003,0.1,0,0.11,9.95
07-Nov-2003,0.1,0,0.33,8.6
08-Nov-2003,0.1,0,0.86,8.2
09-Nov-2003,0.1,0.08,0.18,7.38
10-Nov-2003,0.1,0.08,0.08,9.45
11-Nov-2003,0.1,1.82,0.02,8.37
12-Nov-2003,0.1,3.04,0.2,9.75
13-Nov-2003,0.1,0.93,0.19,8.85
14-Nov-2003,0.1,1.5,1.26,10.24
15-Nov-2003,0.1,0,0.57,8.61
16-Nov-2003,0.1,0.2,0.13,5.74
17-Nov-2003,0.11,3.71,0,7.45
18-Nov-2003,0.11,0.06,0.53,13.1
19-Nov-2003,0.11,0,0.58,12.64
20-Nov-2003,0.12,5.97,0.19,11.38
21-Nov-2003,0.13,8.26,0,7.5
22-Nov-2003,0.34,15.28,0,6.72
23-Nov-2003,0.4,9.66,0.08,6.28
24-Nov-2003,0.39,0.12,0,5.22
25-Nov-2003,0.31,9.52,0.19,7.05
26-Nov-2003,0.68,7.24,0.28,8.18
27-Nov-2003,0.52,0.05,0,2.69
28-Nov-2003,0.37,0,0,4.01
29-Nov-2003,0.34,3.68,0.28,7.7
30-Nov-2003,0.33,1.36,0,6.44
01-Dec-2003,0.32,1.37,0,8.68
02-Dec-2003,0.31,0.59,0,7.93
03-Dec-2003,0.29,0.02,0,8.15
04-Dec-2003,0.27,0,0.56,8.42
05-Dec-2003,0.26,0.04,0.01,7.01
06-Dec-2003,0.23,0,0.74,6.77
07-Dec-2003,0.22,0,0.3,3.34
08-Dec-2003,0.22,0,0,2.36
09-Dec-2003,0.22,0.04,0,4.81
10-Dec-2003,0.22,4.28,0,1.71
11-Dec-2003,0.26,4.11,0.03,7.08
12-Dec-2003,0.34,10.66,0,5.76
13-Dec-2003,0.71,4.93,0.41,11.93
14-Dec-2003,0.54,0.6,0.84,6.79
15-Dec-2003,0.42,0,0.57,2.41
16-Dec-2003,0.37,0,0.16,1.4
17-Dec-2003,0.38,0,0,2.89
18-Dec-2003,0.35,0,0,2.41
19-Dec-2003,0.31,0.3,0,3.11
20-Dec-2003,0.45,12.72,0.19,5.91
21-Dec-2003,0.5,1.59,0.88,4.01
22-Dec-2003,0.42,5.18,0.38,0.73
23-Dec-2003,0.54,1.61,0.01,5.57
24-Dec-2003,0.58,0,0.23,8.8
25-Dec-2003,0.51,0.03,0.48,9.35
26-Dec-2003,0.48,1.33,0.43,9.22
27-Dec-2003,0.44,0.04,0.3,4.5
28-Dec-2003,0.42,0,0.37,2.92
29-Dec-2003,0.39,0.47,0.01,0.95
30-Dec-2003,0.37,0.18,0,1.12
31-Dec-2003,0.38,12.49,0,1.52
01-Jan-2004,0.84,2.92,0.08,3.77
02-Jan-2004,0.75,0,0.2,2.74
03-Jan-2004,0.64,1.13,0.19,0.33
04-Jan-2004,0.59,0.32,0.09,5.33
05-Jan-2004,0.55,2.74,0.01,6.8
06-Jan-2004,0.72,4.12,0.36,8.64
07-Jan-2004,0.71,1.25,0.25,6.84
08-Jan-2004,0.74,4.11,0.41,8.04
09-Jan-2004,0.69,0.32,0.35,4.9
10-Jan-2004,0.64,4.68,0.2,6.85
11-Jan-2004,0.73,0.12,0.63,8.29
12-Jan-2004,0.7,3.25,0.32,4.87
13-Jan-2004,0.72,0.05,0.96,6.91
14-Jan-2004,0.64,0.01,0.31,3.29
15-Jan-2004,0.63,7.51,0.21,3.93
16-Jan-2004,0.74,0.14,0.79,5.44
17-Jan-2004,0.74,4.6,0.26,2.91
18-Jan-2004,0.77,2.49,0.24,2.72
19-Jan-2004,0.91,4.92,0.67,8.43
20-Jan-2004,1.01,4.25,0.14,8.64
21-Jan-2004,1.06,1.26,0.07,7.4
22-Jan-2004,1.17,5.33,0.14,6.53
23-Jan-2004,1.19,4.58,0.15,6.74
24-Jan-2004,1.19,0.02,0.17,5.5
25-Jan-2004,1.04,0.04,0,2.6
26-Jan-2004,0.95,2.96,0.16,2.42
27-Jan-2004,0.94,4.2,0.24,1.77
28-Jan-2004,0.98,3.68,0.27,-0.59
29-Jan-2004,0.95,0.02,0.49,0.14
30-Jan-2004,1.16,19.08,0.46,2.44
31-Jan-2004,3.19,7.98,0.63,9.42
01-Feb-2004,2.25,3.37,0.87,9.5
02-Feb-2004,1.78,1.01,0.9,11.3
03-Feb-2004,1.56,0.49,1.13,13.81
04-Feb-2004,1.39,0.06,1.22,13.85
05-Feb-2004,1.29,3.03,0.78,12.18
06-Feb-2004,1.39,5.38,0.48,8.72
07-Feb-2004,1.45,6.11,1.26,6.43
08-Feb-2004,1.5,0,1.61,4.09
09-Feb-2004,1.32,0,0.68,1.17
10-Feb-2004,1.21,0,0.81,5.65
11-Feb-2004,1.13,0.02,0.3,8.83
12-Feb-2004,1.1,0.56,0.18,8.02
13-Feb-2004,1.1,1.36,0.33,8.25
14-Feb-2004,1.1,3.08,0.2,6.47
15-Feb-2004,1.1,0.12,0.3,6.47
16-Feb-2004,1.07,1.37,0.28,5.57
17-Feb-2004,1.05,1.17,0.11,5.34
18-Feb-2004,1.07,0.48,0.49,5.39
19-Feb-2004,1.03,0.01,0.9,4.05
20-Feb-2004,1.01,0,1,2.49
21-Feb-2004,0.98,0.05,0.68,2.82
22-Feb-2004,0.94,1.71,1.07,3.43
23-Feb-2004,0.92,1.1,0.64,1.44
24-Feb-2004,0.98,6.66,0.25,1.58
25-Feb-2004,0.99,0,0.86,0.26
26-Feb-2004,0.95,1.72,1.09,0.06
27-Feb-2004,0.95,2.99,0.57,0.57
28-Feb-2004,0.93,5.07,0.47,1.45
29-Feb-2004,0.96,0.02,0.61,1.45
01-Mar-2004,0.94,0,0.67,1.16
02-Mar-2004,0.91,0,0.91,1.79
03-Mar-2004,0.88,0.71,0.86,3.73
04-Mar-2004,0.87,0.01,0.39,6.3
05-Mar-2004,0.85,0.43,0.3,4.95
06-Mar-2004,0.83,1.63,0.49,5.32
07-Mar-2004,0.82,0.43,0.55,4.22
08-Mar-2004,0.79,0,1,5.32
09-Mar-2004,0.77,0.29,1.33,4.16
10-Mar-2004,0.77,0.51,0.61,2.34
11-Mar-2004,0.77,0,0.76,2.51
12-Mar-2004,0.79,8.47,0.57,2.85
13-Mar-2004,0.88,1.61,0.97,6.34
14-Mar-2004,0.86,0.11,1.09,9.31
15-Mar-2004,0.81,0.04,1.4,11.21
16-Mar-2004,0.79,0,1.72,13.6
17-Mar-2004,0.76,0,1.42,11.21
18-Mar-2004,0.75,1.79,0.97,9.02
19-Mar-2004,0.78,4.59,1.58,8.49
20-Mar-2004,0.75,0.26,1.97,10.76
21-Mar-2004,0.72,3.42,2.02,7.62
22-Mar-2004,0.72,4.5,1.33,5.8
23-Mar-2004,0.77,5.44,1,4.85
24-Mar-2004,0.85,0.32,1.01,5.06
25-Mar-2004,0.8,0.03,1.05,4.3
26-Mar-2004,0.75,0.26,1.01,4.9
27-Mar-2004,0.73,0.01,0.69,7.14
28-Mar-2004,0.72,0,1.03,8.38
29-Mar-2004,0.69,0,0.94,8.79
30-Mar-2004,0.67,0,1.58,7.3
31-Mar-2004,0.66,0.31,1.91,9.52
01-Apr-2004,0.66,2.42,1.3,10.73
02-Apr-2004,0.67,2.75,1.24,10.46
03-Apr-2004,0.66,1.53,1.41,10.06
04-Apr-2004,0.66,1.66,2.02,8.69
05-Apr-2004,0.65,1.31,1.88,7.28
06-Apr-2004,0.67,7.33,1.21,5.64
07-Apr-2004,0.69,4.81,1.25,6.04
08-Apr-2004,0.62,2.46,1.14,5.86
09-Apr-2004,0.61,0.51,1.79,6.94
10-Apr-2004,0.59,0,1.07,7.36
11-Apr-2004,0.58,0,1.22,7.12
12-Apr-2004,0.59,2.36,1.34,9.48
13-Apr-2004,0.58,0,1.81,9.88
14-Apr-2004,0.56,0,2.46,10.48
15-Apr-2004,0.54,0,2.2,10.51
16-Apr-2004,0.52,0,2.42,11.56
17-Apr-2004,0.52,4.12,2.34,10.04
18-Apr-2004,0.58,7.87,0.54,7.18
19-Apr-2004,0.58,0,2.16,7.31
20-Apr-2004,0.53,0.06,2.29,8.46
21-Apr-2004,0.53,2.99,1.33,12.38
22-Apr-2004,0.51,0,2.55,11.14
23-Apr-2004,0.5,0,3.09,11.52
24-Apr-2004,0.49,0,3.01,13.96
25-Apr-2004,0.48,0,2.23,14.03
26-Apr-2004,0.48,0,2.72,13.15
27-Apr-2004,0.53,7.97,1.67,11.64
28-Apr-2004,0.57,9.42,0.59,9.99
29-Apr-2004,0.67,6.61,0.48,8.09
30-Apr-2004,0.64,0.02,1.03,9.55
01-May-2004,0.6,0.81,1.27,10.12
02-May-2004,0.58,0.38,2.62,12.22
03-May-2004,0.67,11.86,1.72,9.72
04-May-2004,0.89,5.71,1.43,7.91
05-May-2004,0.91,3.1,1.79,8.49
06-May-2004,0.78,0,1.89,9.79
07-May-2004,0.72,7.66,1.77,9.63
08-May-2004,0.83,0.08,1.12,11.04
09-May-2004,0.76,0.01,1.12,11.34
10-May-2004,0.7,0.06,1.9,12.11
11-May-2004,0.65,0,1.24,9.59
12-May-2004,0.62,0,1.77,9.26
13-May-2004,0.6,0,2.05,10.51
14-May-2004,0.58,0,2.72,13.93
15-May-2004,0.57,0,3.19,15.42
16-May-2004,0.56,0,4,15.79
17-May-2004,0.55,0,3.87,16.21
18-May-2004,0.54,0,4.02,15.1
19-May-2004,0.53,0,4.2,15.99
20-May-2004,0.53,0.85,2.32,13.68
21-May-2004,0.43,0.3,2.38,10.04
22-May-2004,0.41,0,3.4,9.12
23-May-2004,0.41,0,3.58,11.36
24-May-2004,0.4,0,3.71,13.07
25-May-2004,0.39,0,2.64,12.14
26-May-2004,0.38,0,2.43,10.77
27-May-2004,0.36,0,3.1,10.64
28-May-2004,0.36,0,3.18,12.82
29-May-2004,0.36,3.13,2.45,15.7
30-May-2004,0.36,0,2.27,14.42
31-May-2004,0.36,3.16,3.77,14.56
01-Jun-2004,0.36,2.98,0.78,13.61
02-Jun-2004,0.35,0,2.9,13.62
03-Jun-2004,0.36,2.62,1.9,13.66
04-Jun-2004,0.35,0.24,2.78,16.51
05-Jun-2004,0.34,0,2.68,15.53
06-Jun-2004,0.33,0,3.02,18.74
07-Jun-2004,0.32,0,4.6,20.43
08-Jun-2004,0.3,0,4.63,22.31
09-Jun-2004,0.28,0,3.41,19.2
10-Jun-2004,0.28,0,3.65,19.06
11-Jun-2004,0.27,0,4.08,16.01
12-Jun-2004,0.26,1.43,2.8,14.61
13-Jun-2004,0.26,0,4.42,16.91
14-Jun-2004,0.25,0,5.2,20.64
15-Jun-2004,0.23,0,3.92,17.9
16-Jun-2004,0.21,0,3.97,17.66
17-Jun-2004,0.2,0,3.11,15.66
18-Jun-2004,0.2,1.14,1.79,12.48
19-Jun-2004,0.21,3.66,2.62,10.51
20-Jun-2004,0.23,11.89,2.01,10.73
21-Jun-2004,0.25,1.3,2.75,11.81
22-Jun-2004,0.24,13.31,3.46,14.44
23-Jun-2004,0.28,9.17,1.77,14.73
24-Jun-2004,0.28,0.2,3.11,13.23
25-Jun-2004,0.25,0,3.87,14.47
26-Jun-2004,0.24,2.35,1.71,13.92
27-Jun-2004,0.25,2.73,3.51,17.07
28-Jun-2004,0.23,0,4.08,15.12
29-Jun-2004,0.22,0.37,3.07,16.54
30-Jun-2004,0.22,0.07,2.7,16.25
01-Jul-2004,0.21,1.66,3.55,14.7
02-Jul-2004,0.21,2.32,2.64,14.19
03-Jul-2004,0.21,0.77,3.48,14.54
04-Jul-2004,0.22,6.09,2.66,14.27
05-Jul-2004,0.22,0.25,3.26,13.99
06-Jul-2004,0.21,0,3.87,15.03
07-Jul-2004,0.2,16.19,2.97,14.32
08-Jul-2004,0.23,5.33,2.19,14.42
09-Jul-2004,0.23,3.35,1.61,12.27
10-Jul-2004,0.23,3.22,2.46,12.92
11-Jul-2004,0.24,0.15,1.73,13.25
12-Jul-2004,0.23,2.47,1.89,13.55
13-Jul-2004,0.22,0.14,3.04,14.65
14-Jul-2004,0.22,2.78,2.34,16.87
15-Jul-2004,0.22,7.07,1.72,17.84
16-Jul-2004,0.25,2.35,1.66,18.02
17-Jul-2004,0.26,4.11,2.55,17.79
18-Jul-2004,0.26,10.16,1.79,15.61
19-Jul-2004,0.27,0,3.51,16.41
20-Jul-2004,0.25,0.07,2.66,17.49
21-Jul-2004,0.21,0,2.39,19.05
22-Jul-2004,0.2,0.04,2.43,18.73
23-Jul-2004,0.19,0,4.34,18.61
24-Jul-2004,0.18,0.64,3.51,16.87
25-Jul-2004,0.18,2.95,1.99,15.09
26-Jul-2004,0.18,0,2.83,16.67
27-Jul-2004,0.17,0,2.57,17.07
28-Jul-2004,0.15,0,3.66,19.45
29-Jul-2004,0.14,0,3.94,20.4
30-Jul-2004,0.14,0,3.37,20.11
31-Jul-2004,0.13,0,2.23,18.25
01-Aug-2004,0.13,0,2.34,17.08
02-Aug-2004,0.13,1.09,2.71,17.67
03-Aug-2004,0.13,0.45,2.04,19.17
04-Aug-2004,0.14,0.02,2.51,19.24
05-Aug-2004,0.13,0.18,2.2,19.37
06-Aug-2004,0.12,0.09,2.92,21
07-Aug-2004,0.11,0,3.87,21.24
08-Aug-2004,0.11,0.08,4.45,22.39
09-Aug-2004,0.13,18.41,0.75,21.18
10-Aug-2004,0.18,10.22,1.54,19.74
11-Aug-2004,0.17,2.29,3.23,19.66
12-Aug-2004,0.17,11.44,1.91,18.71
13-Aug-2004,0.19,4.19,0.76,16.76
14-Aug-2004,0.2,0,2.95,17.68
15-Aug-2004,0.18,0.12,2.3,19
16-Aug-2004,0.19,7.71,2.36,18.51
17-Aug-2004,0.2,7.58,2.81,18.46
18-Aug-2004,0.26,5.17,2.44,18.61
19-Aug-2004,0.42,0,3.07,17.72
20-Aug-2004,0.5,20.61,1.96,15.5
21-Aug-2004,0.64,0.03,2.7,14.26
22-Aug-2004,0.46,8.09,2.51,15.6
23-Aug-2004,0.51,9.45,1.44,15.95
24-Aug-2004,0.81,11.32,2.01,16.65
25-Aug-2004,1.2,11.93,1.92,15.74
26-Aug-2004,1.06,5.92,2.93,16.31
27-Aug-2004,0.87,0,2.04,16.05
28-Aug-2004,0.69,0.04,2.13,14.3
29-Aug-2004,0.59,4.84,1.82,14.34
30-Aug-2004,0.58,2.45,2.4,14.54
31-Aug-2004,0.54,0,2.13,14.05
01-Sep-2004,0.48,0,2.53,14.24
02-Sep-2004,0.45,0,2.6,16.79
03-Sep-2004,0.41,0,2.54,18.34
04-Sep-2004,0.38,0,2.63,18.93
05-Sep-2004,0.37,0,2.6,19.03
06-Sep-2004,0.34,0,1.53,16.64
07-Sep-2004,0.32,0,2.62,16.46
08-Sep-2004,0.31,0,2.47,15.81
09-Sep-2004,0.3,0,2.66,17.61
10-Sep-2004,0.3,0,1.53,17.39
11-Sep-2004,0.29,3.68,3.05,17.86
12-Sep-2004,0.3,4.2,2.56,14.16
13-Sep-2004,0.29,0.97,2.4,14.58
14-Sep-2004,0.29,4.59,2.33,13.25
15-Sep-2004,0.28,0,2.07,12.06
16-Sep-2004,0.26,0.11,2.19,12.17
